scenario,scheduler,cluster,arrival_rate,failure_rate,controller,seed,n_dags,mean_makespan,mean_imbalance,mean_locality,throughput,n_failures,n_adaptations,wall_seconds
A_compare,HEFT-LC,skewed_8,0.1,0.0,off,3,63,15.397711614589555,0.037189955997584886,0.3413572758810854,0.105,0,0,0.05698895454406738
A_compare,HEFT-LC,skewed_8,0.2,0.0,off,1,126,16.143768109662812,0.02654177563544783,0.40728909538433344,0.21,0,0,0.12466144561767578
A_compare,HEFT-LC,skewed_8,0.2,0.0,off,2,113,16.420707352268355,0.021346989896691152,0.4197546308165777,0.18833333333333332,0,0,0.1012430191040039
A_compare,HEFT-LC,skewed_8,0.2,0.0,off,3,120,16.12936340843217,0.025809521277848132,0.4190703856328856,0.2,0,0,0.1151895523071289
A_compare,DLS,skewed_8,0.05,0.0,off,1,29,7.837257512197804,0.6694928834696701,0.750172145861801,0.04833333333333333,0,0,0.025700092315673828
A_compare,DLS,skewed_8,0.05,0.0,off,2,24,8.842915942260566,0.7606030769562574,0.7916847041847043,0.04,0,0,0.019196033477783203
A_compare,DLS,skewed_8,0.05,0.0,off,3,34,7.3834983813538075,0.4045449540700036,0.7682283810960282,0.056666666666666664,0,0,0.0305328369140625
A_compare,DLS,skewed_8,0.1,0.0,off,1,65,8.495064679184763,0.2062260231401097,0.7209756269371653,0.10833333333333334,0,0,0.06057929992675781
A_compare,DLS,skewed_8,0.1,0.0,off,2,55,9.168238094643538,0.24505299801146643,0.7306544465635374,0.09166666666666666,0,0,0.043291330337524414
A_compare,DLS,skewed_8,0.1,0.0,off,3,63,8.34418014614175,0.21722305618492455,0.7325368414654129,0.105,0,0,0.059804439544677734
A_compare,DLS,skewed_8,0.2,0.0,off,1,126,11.17381172050039,0.05791410350996129,0.6694267703196274,0.21,0,0,0.1077878475189209
A_compare,DLS,skewed_8,0.2,0.0,off,2,113,10.863049276857591,0.07091020975245228,0.6855348191631377,0.18833333333333332,0,0,0.09413456916809082
A_compare,DLS,skewed_8,0.2,0.0,off,3,120,10.72393455337691,0.06699905108124928,0.6822790404040404,0.2,0,0,0.10519671440124512
A_compare,RL,skewed_8,0.05,0.0,off,1,29,27.148901445605084,0.11519062298141967,0.3746103034896138,0.04833333333333333,0,0,0.03491854667663574
A_compare,RL,skewed_8,0.05,0.0,off,2,24,29.225086108167744,0.1060824234963703,0.3766752344877345,0.04,0,0,0.02549576759338379
A_compare,RL,skewed_8,0.05,0.0,off,3,34,25.44739389467708,0.07502160989746634,0.41221548059783353,0.056666666666666664,0,0,0.03920125961303711
A_compare,RL,skewed_8,0.1,0.0,off,1,65,32.32429107844375,0.0685483011878635,0.37951228258920566,0.10833333333333334,0,0,0.07387113571166992
A_compare,RL,skewed_8,0.1,0.0,off,2,55,34.49525657751249,0.07181609227292489,0.35495216904307814,0.09166666666666666,0,0,0.05857372283935547
A_compare,RL,skewed_8,0.1,0.0,off,3,63,31.790140908668338,0.059004930101875325,0.3881922310493739,0.105,0,0,0.06417250633239746
A_compare,RL,skewed_8,0.2,0.0,off,1,126,34.035877988095024,0.04222331816605567,0.404446985994605,0.21,0,0,0.13324236869812012
A_compare,RL,skewed_8,0.2,0.0,off,2,113,34.70863360552876,0.044767697154124875,0.38806761085522146,0.18833333333333332,0,0,0.11667037010192871
A_compare,RL,skewed_8,0.2,0.0,off,3,120,35.82551496409288,0.03893522416737347,0.40707126207126204,0.2,0,0,0.12785100936889648
C_failure,HEFT-LC,skewed_8,0.15,0.0,off,1,65,15.343574167604629,0.05349812184795019,0.3992326690403613,0.1625,0,0,0.0
C_failure,HEFT-LC,skewed_8,0.15,0.0,off,2,55,15.315233437390082,0.03900545014293186,0.4039176480085571,0.1375,0,0,0.0
C_failure,HEFT-LC,skewed_8,0.15,0.0,off,3,63,14.230915638437882,0.03894891188759728,0.37282655615988947,0.1575,0,0,0.0
C_failure,HEFT-LC,skewed_8,0.15,0.05,off,1,65,15.11661908895345,0.06353755732968394,0.44097402597402596,0.1625,4,0,0.0
C_failure,HEFT-LC,skewed_8,0.15,0.05,off,2,55,15.559500948477256,0.041225202100507306,0.41489389398480303,0.1375,1,0,0.0
C_failure,HEFT-LC,skewed_8,0.15,0.05,off,3,63,15.068568394675749,0.056416907130904505,0.3972117829260686,0.1575,2,0,0.0
C_failure,HEFT-LC,skewed_8,0.15,0.1,off,1,65,14.779759459399394,0.06609470963262383,0.4410904907058753,0.1625,4,0,0.0
C_failure,HEFT-LC,skewed_8,0.15,0.1,off,2,55,16.684792704038937,0.06458478352680178,0.41727353454626176,0.1375,2,0,0.0
C_failure,HEFT-LC,skewed_8,0.15,0.1,off,3,63,14.278106361282878,0.05565465636869834,0.3820979945979946,0.1575,5,0,0.0
C_failure,HEFT-LC,skewed_8,0.15,0.2,off,1,65,16.111264487658087,0.07738709190474555,0.5106724045185583,0.1625,11,0,0.0
C_failure,HEFT-LC,skewed_8,0.15,0.2,off,2,55,16.15892369450317,0.07528545948707524,0.4747079687988779,0.1375,8,0,0.0
