cluster,scheduler,seed,arrival,phase,makespan,imbalance,epsilon,locality
skewed_8,HEFT,1,333.5223891846825,burst,20.17818961726374,0.019717592626184215,0.0,0.6111111111111112
skewed_8,HEFT,1,334.18708080353167,burst,14.790690208303772,0.012784915273248125,0.0,0.75
skewed_8,HEFT,1,340.3322360136486,burst,21.817623921420363,0.013037544808454465,0.0,0.42857142857142855
skewed_8,HEFT,1,340.38112605230765,burst,15.21395036835952,0.010691678933715885,0.0,0.5
skewed_8,HEFT,1,341.061422642891,burst,19.477184142329293,0.013667843761535878,0.0,0.4
skewed_8,HEFT,1,351.18033064796117,burst,16.666322035721294,0.008658794365919419,0.0,0.45454545454545453
skewed_8,HEFT,1,355.2228745448065,burst,17.198359041299227,0.009932709637564974,0.0,0.4444444444444444
skewed_8,HEFT,1,356.6248500836989,burst,15.219741828074746,0.013218560729562415,0.0,0.5
skewed_8,HEFT,1,359.00347212258936,burst,14.245072874153152,0.007416504740621668,0.0,0.6666666666666666
skewed_8,HEFT,1,359.0635588480776,burst,10.112708887957012,0.006585418879575268,0.0,0.5
skewed_8,HEFT,1,363.1283720504044,burst,11.804099330461383,0.004037633133741974,0.0,0.4
skewed_8,HEFT,1,368.45687762271075,burst,9.905358063237088,0.0067753133248123106,0.0,0.5
skewed_8,HEFT,1,370.1314051440857,burst,12.829147256173655,0.011359260339969285,0.0,0.6428571428571429
skewed_8,HEFT,1,370.33335117281473,burst,12.610587968621871,0.003814850761203674,0.0,0.5
skewed_8,HEFT,1,371.55281971789765,burst,13.28370207698623,0.011748557910527396,0.0,0.7142857142857143
skewed_8,HEFT,1,372.1268917222074,burst,17.624455191996276,0.008684862846955523,0.0,0.375
skewed_8,HEFT,1,377.8320542985591,burst,12.57432162078112,0.00472260091189014,0.0,0.4
skewed_8,HEFT,1,381.0834258302367,burst,6.301700470989033,0.003746538836479523,0.0,0.6666666666666666
skewed_8,HEFT,1,383.9229855890369,burst,8.392432071056362,0.009768772187504448,0.0,0.625
skewed_8,HEFT,1,393.1892444242728,burst,10.395209897253892,0.00376394385502737,0.0,0.25
skewed_8,HEFT,1,396.3461804965384,burst,6.470308097827171,0.004439311321134643,0.0,0.5
skewed_8,HEFT,1,402.84175102466054,burst,11.586343573058286,0.0075025675432178664,0.0,0.375
skewed_8,HEFT,1,404.7110416890446,burst,14.926176359561055,0.008059712071025465,0.0,0.45454545454545453
skewed_8,HEFT,1,406.11559360695577,burst,15.355158815789764,0.005331339452518387,0.0,0.5714285714285714
skewed_8,HEFT,1,407.006958726302,burst,15.874080142888715,0.012267711682712156,0.0,0.5714285714285714
skewed_8,HEFT,1,415.0702309086871,burst,14.52835086370635,0.005617815583984477,0.0,0.6111111111111112
skewed_8,HEFT,1,421.20250704907545,burst,11.866267048251416,0.004664578447049233,0.0,0.625
skewed_8,HEFT,1,427.937732754254,burst,15.832619064774008,0.011200722260120307,0.0,0.8
skewed_8,HEFT,1,428.42248550734973,burst,19.452266527029906,0.012267704961043473,0.0,0.2857142857142857
skewed_8,HEFT,1,428.6758534589876,burst,18.857099537974193,0.0058273380165302065,0.0,0.375
skewed_8,HEFT,1,429.08190910017066,burst,15.880012133421815,0.008665768800880975,0.0,0.5555555555555556
skewed_8,HEFT,1,431.90120651799486,burst,14.54400943622204,0.005975108708043536,0.0,0.5555555555555556
skewed_8,HEFT,1,439.2821478139949,burst,11.88196158363587,0.00520122707218131,0.0,0.7333333333333333
skewed_8,HEFT,1,446.8511252811305,burst,13.430983208872192,0.006161767440172484,0.0,0.375
skewed_8,HEFT,1,450.02139621144084,burst,6.72160060518587,0.00507502101009974,0.0,0.5
skewed_8,HEFT,1,450.93457803603513,burst,10.468506094746488,0.008226449092203342,0.0,0.25
skewed_8,HEFT,1,451.5451848755927,burst,12.208139075808049,0.004185733088237686,0.0,0.25
skewed_8,HEFT,1,459.60010294466326,burst,19.829749909210705,0.013207448108985715,0.0,0.5
skewed_8,HEFT,1,462.2633443997587,burst,15.657801700298137,0.006448373610213101,0.0,0.5
skewed_8,HEFT,1,463.53624500401924,burst,11.386498149645035,0.004673760895629965,0.0,0.5
skewed_8,HEFT,1,466.56209127953707,burst,9.446688701199207,0.0031915822496438673,0.0,0.5
skewed_8,HEFT,1,474.71663556997123,burst,12.727988183030448,0.00873629250782673,0.0,0.6666666666666666
skewed_8,HEFT,1,475.6758550449455,burst,18.478184038137897,0.008306299609994728,0.0,0.5
skewed_8,HEFT,1,477.78533104969483,burst,16.796034827607173,0.00872296040292316,0.0,0.25
skewed_8,HEFT,1,478.52587739687607,burst,11.853691928483727,0.004453723835586906,0.0,0.5
skewed_8,HEFT,1,478.84203596151053,burst,10.939494270769615,0.004970909759728288,0.0,0.375
skewed_8,HEFT,1,490.1725097796844,burst,12.939308825615399,0.0044968050178671864,0.0,0.375
skewed_8,HEFT,1,491.52906425592954,burst,11.189818356158867,0.007276792389808443,0.0,0.7
skewed_8,HEFT,1,492.4662887380711,burst,9.11279272576678,0.005585098607918443,0.0,0.5
skewed_8,HEFT,1,495.13691713660876,burst,13.10870348317519,0.0058068140461753764,0.0,0.42857142857142855
skewed_8,HEFT,1,499.76762905942985,burst,8.19217887157572,0.004993986353606284,0.0,0.6666666666666666
skewed_8,HEFT,1,502.08766388507365,burst,14.447812276055288,0.007294909931982052,0.0,0.5714285714285714
skewed_8,HEFT,1,507.0778059596189,burst,17.778678647838092,0.010596880791963569,0.0,0.45454545454545453
skewed_8,HEFT,1,507.4545786000039,burst,22.292059192914394,0.008066904444680046,0.0,0.5
skewed_8,HEFT,1,507.9046386190492,burst,14.15667673872747,0.0058993279896497695,0.0,0.6
skewed_8,HEFT,1,512.9478462084874,burst,20.145807455726185,0.007047266473981039,0.0,0.5
skewed_8,HEFT,1,519.0714540136929,burst,11.904747971361985,0.006237459715183232,0.0,0.5
skewed_8,HEFT,1,520.9606464561078,burst,14.749648757961609,0.004130748226673756,0.0,0.6
skewed_8,HEFT,1,521.9311017098074,burst,12.335760373197445,0.007577628601321206,0.0,0.5714285714285714
skewed_8,HEFT,1,524.5873904970161,burst,13.524088350214697,0.008675804345389879,0.0,0.375
skewed_8,HEFT,1,526.2663964962271,burst,16.23202957374383,0.0022822127625975433,0.0,0.5
skewed_8,HEFT,1,535.2587150509589,burst,17.322085038117052,0.009873566671646159,0.0,0.5
skewed_8,HEFT,1,535.7548139216382,burst,14.15296074896753,0.0031819623710053146,0.0,0.45454545454545453
skewed_8,HEFT,1,538.5224074297097,burst,10.961883467554117,0.004047711799624427,0.0,0.4444444444444444
skewed_8,HEFT,1,539.1740799896395,burst,10.930269641630161,0.004117758895742928,0.0,0.5
